iter	Logloss
0	0.6734584038
1	0.6593208889
2	0.6429024757
3	0.631174599
4	0.6196125834
5	0.6049814341
6	0.5934892733
7	0.5836750746
8	0.5770169772
9	0.5666951468
10	0.5575616372
11	0.5499173678
12	0.5430089428
13	0.5384194589
14	0.5332152794
15	0.5281109237
16	0.5219668204
17	0.5163003797
18	0.5126165943
19	0.5090440411
20	0.5039046704
21	0.5003298794
22	0.4970046262
23	0.4930229927
24	0.4898665844
25	0.4862292226
26	0.481989539
27	0.4794172428
28	0.476878075
29	0.4747659339
30	0.4719201423
31	0.468662506
32	0.4678910761
33	0.4653803855
34	0.4622291548
35	0.4603955113
36	0.4583740234
37	0.4564645138
38	0.4541795787
39	0.4529006048
40	0.4508084723
41	0.4493148003
42	0.447169092
43	0.4457665559
44	0.4437152306
45	0.4420497738
46	0.4396846286
47	0.4386827042
48	0.4376032025
49	0.4359514797
50	0.4347694775
51	0.4333167882
52	0.4319780516
53	0.4305444055
54	0.4294686773
55	0.4286305519
56	0.4274548682
57	0.4263311368
58	0.425314557
59	0.4242049546
60	0.423157923
61	0.4219667063
62	0.419991291
63	0.4186591362
64	0.4180968756
65	0.4164725769
66	0.415754284
67	0.4146255065
68	0.4131728172
69	0.4120578615
70	0.4112066163
71	0.4102419011
72	0.4091136063
73	0.4085221225
74	0.4079036973
75	0.4063651375
76	0.4058314858
77	0.4049800651
78	0.4039449246
79	0.4030764351
80	0.4022272962
81	0.4014854843
82	0.4004648676
83	0.399936218
84	0.3990202519
85	0.3986778232
86	0.3981027062
87	0.397409775
88	0.3971266263
89	0.3965752915
90	0.3959747249
91	0.3955936391
92	0.3950132127
93	0.3943900047
94	0.3939252863
95	0.3937354235
96	0.3932345491
97	0.3927930425
98	0.3922890965
99	0.392001911
100	0.3914709797
101	0.3909282012
102	0.3902167972
103	0.3895649365
104	0.389286044
105	0.3889835887
106	0.3886257586
107	0.3876572259
108	0.3870613104
109	0.3864008933
110	0.3859830811
111	0.3852264382
112	0.3846346912
113	0.3838882282
114	0.3836996818
115	0.3831854682
116	0.3829047329
117	0.3823494051
118	0.3818607728
119	0.3814704286
120	0.3812129928
121	0.3805276527
122	0.3801323941
123	0.3797769773
124	0.3790586843
125	0.378628981
126	0.3783857618
127	0.3780653602
128	0.3778036242
129	0.3774219241
130	0.3766877471
131	0.3763409744
132	0.3757902539
133	0.3754523885
134	0.3752210605
135	0.3748354552
136	0.3744811354
137	0.3742844275
138	0.3739892561
139	0.3739153206
140	0.3736195348
141	0.3728376179
142	0.3723606134
143	0.372049514
144	0.3715130541
145	0.3712277553
146	0.3708194209
147	0.3704961232
148	0.3698024462
149	0.3694474682
150	0.3690648905
151	0.3688659449
152	0.368461033
153	0.3682312845
154	0.3677809802
155	0.3672180395
156	0.3670022664
157	0.3667720573
158	0.3663892163
159	0.3657431914
160	0.3653028695
161	0.3650576758
162	0.3644305407
163	0.3641604458
164	0.3638922159
165	0.3634284189
166	0.3629955344
167	0.3629503833
168	0.3626407099
169	0.3624122121
170	0.3618188635
171	0.3615006338
172	0.3612272261
173	0.3605464713
174	0.3604212856
175	0.3602391235
176	0.3600873693
177	0.3598509952
178	0.3595753498
179	0.3592534124
180	0.3589841951
181	0.3587070358
182	0.3583717593
183	0.3580707959
184	0.357914939
185	0.3576874284
186	0.3572671809
187	0.3567897596
188	0.3566102522
189	0.356114358
190	0.3558124073
191	0.3555319133
192	0.35520052
193	0.3548614261
194	0.3545730997
195	0.3542633825
196	0.3538262417
197	0.3534848222
198	0.3531685013
199	0.3528076655
200	0.3525888867
201	0.3522602797
202	0.351960128
203	0.3517344164
204	0.3515147601
205	0.3512426249
206	0.3509579404
207	0.3506149851
208	0.3503232362
209	0.3499571569
210	0.3493598592
211	0.3490646439
212	0.3487207014
213	0.3485709437
214	0.3483909097
215	0.3481864792
216	0.348141372
217	0.3479359323
218	0.3477649812
219	0.3473362871
220	0.3470552665
221	0.34669612
222	0.3461217709
223	0.3458790344
224	0.3456380091
225	0.3454474004
226	0.3452359494
227	0.3448473823
228	0.3443036604
229	0.3440541666
230	0.3435991453
231	0.3433975011
232	0.343154611
233	0.342999895
234	0.3426888834
235	0.3424077312
236	0.3422638751
237	0.3419424643
238	0.3417253529
239	0.3414717783
240	0.3412972511
241	0.3410176785
242	0.3404772475
243	0.3402968187
244	0.3398774268
245	0.3397043257
246	0.3394365564
247	0.3390444132
248	0.3388049237
249	0.3385376152
250	0.3382884724
251	0.3380920279
252	0.3376341984
253	0.3373967492
254	0.3369666071
255	0.3364781504
256	0.3362287224
257	0.3358417569
258	0.3354431416
259	0.3351560218
260	0.3348245847
261	0.3344186197
262	0.3339673062
263	0.3338646741
264	0.3332995175
265	0.3330462502
266	0.3327229306
267	0.3322726263
268	0.3317686365
269	0.3315235525
270	0.331351658
271	0.3309439379
272	0.3306692577
273	0.3302449076
274	0.3299425181
275	0.3295729066
276	0.3292887706
277	0.3290117868
278	0.3288419547
279	0.3283672758
280	0.3282281806
