iter	Passed	Remaining
0	20	13707
1	39	13250
2	57	12722
3	76	12739
4	95	12582
5	113	12540
6	132	12518
7	150	12397
8	168	12322
9	185	12202
10	202	12061
11	220	12055
12	239	12034
13	258	12046
14	275	11966
15	293	11921
16	312	11947
17	328	11860
18	347	11866
19	366	11872
20	386	11882
21	404	11862
22	423	11858
23	440	11795
24	458	11784
25	475	11711
26	487	11548
27	503	11499
28	522	11497
29	539	11445
30	552	11326
31	570	11319
32	579	11138
33	597	11117
34	614	11100
35	635	11137
36	656	11184
37	678	11232
38	700	11274
39	710	11139
40	731	11173
41	744	11078
42	756	10982
43	768	10878
44	784	10840
45	801	10816
46	818	10799
47	835	10777
48	852	10753
49	868	10719
50	884	10688
51	900	10654
52	918	10646
53	936	10633
54	952	10593
55	967	10560
56	985	10546
57	999	10495
58	1011	10422
59	1022	10343
60	1038	10318
61	1054	10292
62	1072	10286
63	1090	10270
64	1099	10184
65	1115	10162
66	1131	10133
67	1148	10118
68	1166	10106
69	1183	10091
70	1201	10088
71	1224	10117
72	1243	10119
73	1261	10112
74	1279	10102
75	1298	10096
76	1315	10080
77	1333	10066
78	1350	10049
79	1367	10034
80	1377	9968
81	1393	9943
82	1409	9914
83	1420	9859
84	1436	9834
85	1452	9811
86	1467	9785
87	1485	9772
88	1502	9758
89	1522	9758
90	1532	9700
91	1550	9690
92	1568	9679
93	1584	9656
94	1601	9642
95	1612	9593
96	1630	9583
97	1649	9576
98	1666	9563
99	1683	9545
100	1700	9530
101	1717	9514
102	1733	9494
103	1749	9472
104	1767	9457
105	1784	9444
106	1802	9434
107	1811	9376
108	1830	9370
109	1847	9353
110	1858	9307
111	1872	9280
112	1893	9284
113	1914	9287
114	1937	9298
115	1946	9244
116	1960	9216
117	1969	9162
118	1984	9140
119	2001	9122
120	2010	9073
121	2027	9056
122	2043	9038
123	2062	9030
124	2073	8991
125	2090	8976
126	2107	8962
127	2126	8953
128	2144	8941
129	2162	8931
130	2169	8878
131	2185	8857
132	2202	8843
133	2220	8833
134	2237	8819
135	2253	8797
136	2270	8783
137	2282	8750
138	2301	8743
139	2314	8712
140	2331	8696
141	2346	8676
142	2362	8658
143	2380	8646
144	2397	8632
145	2415	8620
146	2426	8582
147	2444	8571
148	2461	8557
149	2478	8543
150	2495	8528
151	2512	8513
152	2529	8496
153	2547	8484
154	2564	8471
155	2582	8459
156	2593	8425
157	2609	8406
158	2625	8388
159	2643	8377
160	2660	8360
161	2676	8343
162	2694	8331
163	2711	8315
164	2727	8298
165	2744	8284
166	2761	8266
167	2770	8228
168	2788	8216
169	2803	8197
170	2820	8179
171	2838	8169
172	2855	8155
173	2873	8141
174	2891	8130
175	2907	8112
176	2925	8098
177	2942	8082
178	2960	8071
179	2979	8061
180	2996	8046
181	3011	8025
182	3027	8008
183	3041	7983
184	3058	7969
185	3076	7955
186	3092	7937
187	3107	7917
188	3123	7900
189	3134	7868
190	3152	7857
191	3169	7840
192	3187	7828
193	3204	7814
194	3222	7800
195	3233	7770
196	3247	7748
197	3263	7730
198	3273	7698
199	3285	7672
200	3303	7659
201	3321	7646
202	3332	7617
203	3347	7598
204	3363	7580
205	3381	7568
206	3398	7551
207	3416	7539
208	3434	7525
209	3450	7509
210	3466	7490
211	3484	7478
212	3501	7463
213	3517	7446
214	3529	7419
215	3544	7401
216	3558	7379
217	3580	7374
218	3601	7367
219	3625	7367
220	3644	7355
221	3661	7339
222	3679	7325
223	3695	7308
224	3712	7292
225	3730	7279
226	3747	7263
227	3756	7232
228	3773	7217
229	3789	7200
230	3801	7174
231	3816	7155
232	3834	7142
233	3851	7127
234	3868	7111
235	3884	7094
236	3902	7080
