iter	Passed	Remaining
0	21	13783
1	43	13943
2	72	15536
3	92	14741
4	125	15941
5	149	15832
6	171	15581
7	190	15099
8	205	14472
9	224	14170
10	239	13719
11	257	13513
12	276	13369
13	292	13135
14	309	12941
15	325	12715
16	341	12546
17	360	12484
18	375	12318
19	392	12208
20	407	12041
21	423	11927
22	438	11795
23	453	11679
24	467	11529
25	484	11478
26	502	11439
27	519	11395
28	538	11389
29	556	11360
30	571	11259
31	586	11172
32	598	11044
33	614	10982
34	629	10920
35	646	10874
36	660	10807
37	675	10744
38	692	10710
39	707	10654
40	722	10597
41	740	10573
42	758	10560
43	775	10546
44	795	10549
45	811	10518
46	828	10488
47	843	10435
48	862	10437
49	881	10433
50	898	10406
51	913	10362
52	932	10364
53	950	10351
54	970	10356
55	985	10311
56	1001	10283
57	1015	10227
58	1037	10249
59	1053	10218
60	1072	10213
61	1090	10204
62	1108	10190
63	1128	10191
64	1146	10179
65	1164	10162
66	1182	10149
67	1203	10157
68	1222	10154
69	1239	10125
70	1257	10111
71	1274	10090
72	1288	10042
73	1304	10012
74	1318	9969
75	1332	9921
76	1349	9901
77	1366	9882
78	1379	9832
79	1396	9810
80	1412	9782
81	1427	9747
82	1445	9737
83	1463	9719
84	1479	9696
85	1496	9672
86	1510	9637
87	1527	9615
88	1539	9565
89	1555	9542
90	1573	9527
91	1590	9507
92	1607	9487
93	1625	9473
94	1645	9472
95	1662	9456
96	1680	9440
97	1698	9428
98	1712	9392
99	1731	9384
100	1748	9365
101	1766	9353
102	1784	9336
103	1800	9313
104	1817	9294
105	1834	9276
106	1848	9240
107	1866	9228
108	1883	9207
109	1899	9186
110	1918	9179
111	1935	9157
112	1951	9136
113	1965	9102
114	1980	9077
115	1995	9048
116	2008	9010
117	2026	8998
118	2040	8969
119	2057	8951
120	2076	8942
121	2090	8910
122	2110	8906
123	2121	8860
124	2138	8843
125	2151	8811
126	2168	8794
127	2183	8766
128	2200	8749
129	2215	8727
130	2234	8716
131	2248	8687
132	2265	8669
133	2280	8644
134	2300	8638
135	2315	8616
136	2336	8611
137	2352	8590
138	2371	8581
139	2388	8565
140	2405	8546
141	2425	8539
142	2441	8520
143	2458	8502
144	2477	8492
145	2493	8470
146	2508	8446
147	2521	8416
148	2540	8405
149	2555	8382
150	2570	8356
151	2586	8337
152	2601	8315
153	2619	8300
154	2636	8283
155	2647	8249
156	2665	8234
157	2681	8213
158	2695	8187
159	2713	8175
160	2730	8156
161	2747	8141
162	2766	8130
163	2787	8124
164	2808	8117
165	2818	8082
166	2836	8068
167	2852	8047
168	2868	8027
169	2885	8011
170	2901	7991
171	2917	7971
172	2932	7950
173	2946	7924
174	2961	7901
175	2977	7883
176	2992	7861
177	3005	7835
178	3024	7822
179	3041	7806
180	3060	7794
181	3074	7771
182	3092	7755
183	3112	7746
184	3130	7733
185	3146	7713
186	3160	7690
187	3177	7672
188	3195	7658
189	3214	7647
190	3230	7628
191	3246	7609
192	3265	7595
193	3280	7576
194	3298	7562
195	3314	7542
196	3331	7524
197	3346	7505
198	3362	7486
199	3377	7463
200	3393	7446
201	3409	7426
202	3426	7409
203	3439	7384
204	3451	7356
205	3470	7346
206	3486	7327
207	3501	7306
208	3519	7291
209	3533	7268
210	3546	7243
211	3565	7231
212	3584	7218
213	3599	7198
214	3616	7182
215	3632	7164
216	3647	7144
217	3662	7124
218	3682	7112
219	3698	7095
220	3714	7076
221	3729	7055
222	3742	7032
223	3759	7016
224	3776	6998
225	3794	6984
226	3811	6968
227	3828	6951
228	3843	6932
229	3860	6915
230	3870	6886
231	3889	6874
232	3905	6856
233	3919	6833
234	3937	6818
235	3955	6803
236	3981	6803
237	3996	6784
238	4015	6771
239	4029	6748
240	4042	6726
241	4061	6713
242	4077	6694
243	4092	6675
244	4105	6653
245	4122	6636
246	4138	6617
247	4154	6601
248	4174	6588
249	4190	6569
250	4206	6552
251	4222	6534
252	4235	6512
253	4251	6494
254	4271	6482
255	4285	6461
256	4305	6449
257	4319	6428
258	4333	6408
259	4352	6395
260	4366	6373
261	4380	6353
262	4400	6341
263	4418	6325
264	4435	6309
265	4450	6290
266	4468	6275
267	4483	6257
268	4498	6237
269	4511	6215
270	4525	6195
271	4541	6178
272	4556	6158
273	4573	6142
274	4585	6119
275	4599	6099
276	4616	6082
277	4633	6066
278	4648	6047
279	4663	6029
280	4677	6009
281	4694	5992
282	4707	5971
283	4721	5951
284	4732	5928
285	4747	5909
286	4762	5891
287	4775	5870
288	4791	5852
289	4810	5839
290	4825	5820
291	4844	5806
292	4861	5790
293	4873	5768
294	4890	5752
295	4905	5734
296	4922	5718
297	4939	5702
298	4967	5698
299	4986	5684
300	5004	5669
301	5022	5653
302	5037	5635
303	5050	5615
304	5062	5594
305	5079	5576
306	5098	5563
307	5114	5546
308	5129	5528
309	5145	5511
310	5157	5489
311	5174	5472
312	5186	5451
313	5198	5430
314	5213	5412
315	5229	5394
316	5244	5376
317	5259	5358
318	5274	5341
319	5290	5323
320	5303	5303
321	5321	5288
322	5337	5271
323	5353	5254
324	5370	5238
325	5382	5217
326	5398	5200
327	5411	5180
328	5432	5168
329	5447	5150
330	5464	5134
331	5478	5115
332	5496	5100
333	5509	5080
334	5525	5063
335	5541	5047
336	5558	5030
337	5571	5011
338	5587	4993
339	5603	4976
340	5616	4957
341	5634	4942
342	5649	4924
343	5663	4906
344	5683	4892
345	5694	4871
346	5708	4852
347	5722	4834
348	5738	4817
349	5750	4797
350	5766	4780
351	5790	4770
352	5806	4753
353	5823	4737
354	5834	4716
355	5851	4700
356	5868	4685
357	5888	4671
358	5908	4657
359	5925	4641
360	5941	4625
361	5957	4608
362	5975	4592
363	5991	4576
364	6005	4557
365	6023	4541
366	6041	4526
367	6059	4511
368	6077	4496
369	6097	4482
370	6110	4463
371	6124	4445
372	6141	4429
373	6161	4415
374	6176	4397
375	6192	4381
