iter	Passed	Remaining
0	17	11928
1	38	12774
2	57	12806
3	72	11993
4	89	11915
5	112	12373
6	131	12425
7	153	12618
8	176	12879
9	198	13043
10	219	13068
11	238	13032
12	259	13060
13	278	12976
14	295	12829
15	311	12669
16	327	12503
17	347	12533
18	368	12582
19	382	12379
20	406	12507
21	424	12457
22	449	12575
23	473	12683
24	498	12813
25	519	12810
26	542	12869
27	561	12824
28	586	12898
29	609	12951
30	627	12868
31	648	12865
32	672	12915
33	696	12967
34	725	13096
35	745	13073
36	765	13028
37	780	12926
38	800	12883
39	820	12863
40	841	12841
41	861	12824
42	882	12804
43	904	12803
44	925	12787
45	946	12771
46	968	12770
47	987	12737
48	1001	12629
49	1019	12583
50	1041	12583
51	1063	12582
52	1082	12545
53	1106	12564
54	1129	12568
55	1151	12560
56	1173	12553
57	1193	12530
58	1212	12498
59	1234	12484
60	1253	12454
61	1278	12476
62	1301	12473
63	1325	12487
64	1342	12434
65	1365	12433
66	1377	12336
67	1395	12296
68	1413	12252
69	1435	12240
70	1453	12198
71	1474	12182
72	1495	12168
73	1518	12169
74	1540	12158
75	1560	12133
76	1584	12137
77	1600	12085
78	1614	12019
79	1633	11982
80	1650	11942
81	1672	11930
82	1691	11904
83	1710	11874
84	1731	11854
85	1750	11828
86	1770	11803
87	1780	11716
88	1802	11708
89	1824	11697
90	1844	11672
91	1863	11647
92	1881	11611
93	1900	11585
94	1922	11573
95	1942	11553
96	1964	11542
97	1989	11549
98	2007	11515
99	2025	11486
100	2046	11471
101	2064	11437
102	2084	11413
103	2102	11384
104	2120	11352
105	2136	11308
106	2149	11249
107	2156	11160
108	2174	11132
109	2192	11104
110	2211	11076
111	2226	11031
112	2247	11019
113	2264	10987
114	2286	10973
115	2306	10957
116	2323	10921
117	2344	10910
118	2366	10895
119	2385	10872
120	2407	10861
121	2429	10854
122	2449	10835
123	2471	10823
124	2489	10794
125	2510	10780
126	2538	10792
127	2557	10767
128	2578	10752
129	2592	10707
130	2613	10692
131	2633	10672
132	2654	10659
133	2673	10634
134	2694	10618
135	2716	10606
136	2731	10568
137	2757	10570
138	2780	10562
139	2802	10549
140	2823	10533
141	2844	10518
142	2857	10471
143	2878	10454
144	2897	10429
145	2912	10392
146	2932	10372
147	2949	10342
148	2965	10311
149	2985	10289
150	3008	10279
151	3025	10250
152	3047	10236
153	3068	10222
154	3092	10213
155	3115	10204
156	3133	10178
157	3155	10166
158	3174	10141
159	3194	10122
160	3214	10103
161	3239	10098
162	3256	10069
163	3273	10040
164	3287	10002
165	3304	9972
166	3323	9951
167	3343	9930
168	3362	9907
169	3388	9905
170	3404	9875
171	3424	9856
172	3447	9844
173	3467	9825
174	3488	9807
175	3503	9773
176	3522	9752
177	3538	9722
178	3558	9702
179	3576	9676
180	3589	9637
181	3609	9619
182	3629	9599
183	3649	9580
184	3671	9566
185	3690	9543
186	3717	9542
187	3737	9522
188	3757	9501
189	3773	9472
190	3795	9459
191	3815	9440
192	3837	9425
193	3858	9407
194	3874	9378
195	3896	9363
196	3917	9347
197	3927	9302
198	3948	9284
199	3967	9263
200	3990	9250
201	4012	9237
202	4030	9212
203	4047	9186
204	4066	9165
205	4085	9141
206	4102	9116
207	4121	9094
208	4132	9056
209	4152	9036
210	4172	9016
211	4193	9001
212	4216	8988
213	4239	8974
214	4261	8959
215	4280	8937
216	4302	8922
217	4323	8905
218	4342	8884
219	4368	8876
220	4395	8871
221	4412	8845
222	4435	8830
223	4455	8811
224	4477	8796
225	4502	8785
226	4524	8769
227	4543	8748
228	4568	8737
229	4589	8720
230	4612	8705
231	4634	8689
232	4657	8675
233	4675	8651
234	4700	8640
235	4721	8623
236	4738	8597
237	4755	8571
238	4772	8546
239	4793	8527
240	4808	8499
241	4827	8477
242	4845	8454
243	4866	8436
244	4882	8409
245	4906	8396
246	4919	8365
247	4945	8354
248	4968	8339
249	4989	8322
250	5010	8303
251	5031	8285
252	5056	8274
253	5081	8262
254	5102	8243
255	5121	8222
256	5142	8204
257	5161	8182
258	5178	8157
259	5187	8120
260	5206	8099
261	5222	8073
262	5241	8051
263	5265	8038
264	5291	8026
265	5317	8016
266	5335	7993
267	5355	7972
268	5376	7954
269	5397	7936
270	5414	7912
271	5432	7888
272	5450	7866
273	5471	7848
274	5490	7826
275	5510	7806
276	5530	7787
277	5550	7766
278	5571	7748
279	5593	7731
280	5606	7701
281	5624	7679
282	5645	7660
283	5668	7643
284	5684	7619
285	5703	7597
286	5723	7577
287	5744	7559
288	5763	7538
289	5781	7516
290	5799	7493
291	5821	7475
292	5839	7454
293	5857	7431
294	5879	7414
295	5886	7378
296	5907	7358
297	5927	7339
298	5941	7312
299	5958	7289
300	5978	7269
301	5995	7246
302	6013	7223
303	6031	7202
304	6051	7182
305	6075	7167
306	6096	7148
307	6119	7133
308	6139	7113
309	6156	7090
310	6179	7073
311	6200	7055
312	6221	7036
313	6248	7025
314	6269	7005
315	6294	6991
316	6314	6971
317	6328	6945
318	6350	6928
319	6373	6910
320	6399	6898
321	6422	6880
322	6442	6861
323	6465	6844
324	6486	6825
325	6510	6810
326	6536	6795
327	6564	6785
328	6582	6762
329	6605	6745
330	6621	6721
331	6639	6699
332	6655	6675
333	6673	6653
334	6694	6634
335	6712	6612
336	6735	6595
337	6756	6576
338	6781	6561
339	6806	6546
340	6830	6530
341	6854	6513
342	6876	6495
343	6896	6475
344	6917	6456
345	6939	6437
346	6963	6421
347	6987	6405
348	7008	6385
349	7025	6363
350	7040	6338
351	7060	6317
352	7078	6296
353	7095	6274
354	7111	6249
355	7132	6230
356	7150	6208
357	7170	6189
358	7187	6166
359	7205	6145
360	7227	6126
361	7246	6105
362	7266	6085
363	7283	6062
364	7303	6042
365	7321	6021
366	7331	5992
367	7342	5965
368	7359	5943
369	7372	5917
370	7381	5888
371	7392	5862
372	7408	5839
373	7426	5817
374	7443	5796
375	7454	5769
376	7473	5748
377	7491	5727
378	7502	5700
379	7518	5678
380	7536	5657
381	7553	5635
382	7570	5613
383	7586	5591
384	7606	5571
385	7623	5549
386	7642	5529
387	7653	5503
388	7671	5482
389	7690	5462
390	7707	5440
391	7724	5418
392	7742	5397
393	7761	5377
394	7778	5356
395	7797	5336
396	7814	5314
397	7831	5293
398	7849	5272
