iter	Logloss
0	0.6795886357
1	0.6669125904
2	0.654482483
3	0.6434447906
4	0.6324261405
5	0.6221338373
6	0.6130158059
7	0.6040745106
8	0.5948811621
9	0.5857308289
10	0.5774605985
11	0.5706731443
12	0.56289633
13	0.5552835702
14	0.5488356861
15	0.5422982166
16	0.5355278783
17	0.5296699214
18	0.5239723427
19	0.5196774446
20	0.5149734048
21	0.5097581097
22	0.5056097617
23	0.501634067
24	0.4979679484
25	0.4941762119
26	0.4898805357
27	0.4866074205
28	0.4833448252
29	0.4795890988
30	0.4770246827
31	0.473853875
32	0.4707183477
33	0.4680854092
34	0.4654567133
35	0.4631039578
36	0.4609940494
37	0.4587112697
38	0.4564022488
39	0.4544278939
40	0.4518558923
41	0.4501708962
42	0.4485680363
43	0.4463416444
44	0.4443758789
45	0.4425480035
46	0.4404981714
47	0.4390569494
48	0.4372696353
49	0.4358794207
50	0.4342827952
51	0.4328435771
52	0.4310497605
53	0.4299040179
54	0.4288702215
55	0.4276690618
56	0.4262090943
57	0.4250343812
58	0.4237231576
59	0.4227124839
60	0.421343012
61	0.4199394496
62	0.419000671
63	0.4180018941
64	0.4166736601
65	0.4157983949
66	0.4147091746
67	0.413711185
68	0.4128761179
69	0.4117899142
70	0.4110047303
71	0.4100866313
72	0.4091542601
73	0.4083560772
74	0.4074445016
75	0.4068142374
76	0.4060307098
77	0.405157444
78	0.4043665524
79	0.4036782142
80	0.4030119696
81	0.4024182137
82	0.4014809515
83	0.4007850281
84	0.4001020906
85	0.3995344281
86	0.3988770553
87	0.397730394
88	0.396962727
89	0.3962056925
90	0.3957349981
91	0.3950697016
92	0.3945653901
93	0.393693318
94	0.3928651016
95	0.3923316117
96	0.3913251748
97	0.3907641413
98	0.3903463851
99	0.3896145914
100	0.3890196627
101	0.3882815378
102	0.3876360872
103	0.3869974663
104	0.386496735
105	0.3860120382
106	0.3855652739
107	0.384942203
108	0.3844233238
109	0.3838326351
110	0.3832122332
111	0.3827807379
112	0.382401103
113	0.3818717179
114	0.3813729042
115	0.3808399267
116	0.3802130476
117	0.3797721635
118	0.3792982695
119	0.378745715
120	0.378257615
121	0.3778147295
122	0.3773102998
123	0.3767763863
124	0.3763147544
125	0.3757810291
126	0.3753119694
127	0.3748369489
128	0.3744692107
129	0.3738806594
130	0.3735134095
131	0.3728856706
132	0.3723798785
133	0.3718703423
134	0.3715404318
135	0.3711952727
136	0.370902613
137	0.3705297023
138	0.3701972014
139	0.3697515412
140	0.3693948803
141	0.3690192385
142	0.3686665693
143	0.3683319133
144	0.3679611315
145	0.3675381066
146	0.3671536504
147	0.3668287679
148	0.3662083651
149	0.3658400396
150	0.3655514332
151	0.3651758013
152	0.3648425821
153	0.3645376269
154	0.3641326109
155	0.363808378
156	0.3631389618
157	0.3628309478
158	0.3625150742
159	0.3621583792
160	0.3617617957
