iter	Passed	Remaining
0	37	26913
1	73	26501
2	116	27734
3	150	26949
4	187	26789
5	226	26898
6	262	26747
7	294	26182
8	331	26126
9	365	25943
10	402	25922
11	437	25766
12	472	25638
13	509	25646
14	539	25319
15	580	25514
16	621	25656
17	656	25568
18	694	25590
19	730	25526
20	767	25501
21	801	25399
22	838	25368
23	880	25486
24	915	25415
25	952	25392
26	989	25350
27	1023	25267
28	1062	25270
29	1100	25281
30	1139	25291
31	1173	25200
32	1206	25087
33	1241	25009
34	1275	24930
35	1309	24835
36	1341	24733
37	1381	24760
38	1417	24716
39	1449	24611
40	1489	24630
41	1527	24615
42	1562	24566
43	1599	24544
44	1635	24501
45	1675	24513
46	1719	24585
47	1753	24517
48	1795	24547
49	1832	24521
50	1863	24405
51	1895	24318
52	1933	24299
53	1969	24252
54	2008	24242
55	2046	24232
56	2088	24254
57	2127	24246
58	2158	24144
59	2199	24153
60	2242	24188
61	2281	24181
62	2329	24260
63	2365	24206
64	2404	24192
65	2441	24158
66	2480	24135
67	2515	24079
68	2549	24016
69	2587	23991
70	2619	23911
71	2653	23847
72	2689	23798
73	2724	23750
74	2758	23686
75	2802	23714
76	2844	23713
77	2880	23673
78	2912	23597
79	2950	23566
80	2995	23591
81	3031	23547
82	3075	23563
83	3112	23528
84	3149	23492
85	3189	23472
86	3220	23394
87	3259	23371
88	3301	23368
89	3333	23299
90	3369	23251
91	3408	23229
92	3441	23164
93	3477	23120
94	3511	23062
95	3543	22996
96	3584	22982
97	3621	22946
98	3661	22930
99	3702	22915
100	3732	22839
101	3770	22808
102	3806	22766
103	3842	22725
104	3889	22741
105	3925	22698
106	3961	22656
107	4000	22631
108	4035	22583
109	4072	22544
110	4111	22520
111	4142	22450
112	4178	22409
113	4208	22333
114	4246	22301
115	4284	22274
116	4325	22253
117	4364	22226
118	4402	22197
119	4443	22180
120	4484	22162
121	4520	22119
122	4558	22087
123	4597	22058
124	4633	22016
125	4672	21991
126	4705	21934
127	4734	21862
128	4773	21831
129	4812	21804
130	4847	21760
131	4884	21720
132	4920	21677
133	4956	21639
134	4998	21623
135	5020	21519
136	5055	21475
137	5075	21367
138	5110	21322
139	5143	21272
140	5188	21267
141	5222	21222
142	5254	21163
143	5290	21126
144	5329	21097
145	5370	21078
146	5413	21062
147	5452	21035
148	5484	20981
149	5521	20945
150	5553	20888
151	5594	20867
152	5629	20827
153	5693	20888
154	5722	20824
155	5764	20803
156	5801	20767
157	5833	20711
158	5868	20670
159	5914	20664
160	5947	20613
161	5980	20563
162	6016	20523
163	6050	20476
164	6091	20453
165	6125	20406
166	6160	20361
167	6192	20309
168	6230	20275
169	6261	20219
170	6294	20171
171	6330	20133
172	6367	20095
173	6402	20054
174	6434	20000
175	6471	19965
176	6510	19935
177	6549	19904
178	6582	19857
179	6615	19809
180	6648	19763
181	6687	19730
182	6721	19687
183	6758	19651
184	6795	19615
185	6829	19570
186	6865	19530
187	6895	19476
188	6931	19436
189	6970	19408
190	7008	19375
191	7046	19342
192	7083	19306
193	7117	19261
194	7158	19235
195	7197	19206
196	7237	19176
197	7277	19149
198	7317	19119
199	7354	19083
200	7405	19084
201	7435	19030
202	7471	18991
203	7510	18959
204	7540	18905
205	7584	18888
206	7625	18860
207	7659	18817
208	7696	18781
209	7731	18739
210	7764	18694
211	7799	18653
212	7836	18616
213	7871	18576
214	7910	18543
215	7946	18504
216	7980	18462
217	8020	18431
218	8053	18387
219	8084	18337
220	8122	18304
221	8160	18268
222	8204	18247
223	8248	18228
224	8282	18185
225	8315	18139
226	8348	18093
227	8364	18013
228	8411	17998
229	8455	17976
230	8486	17929
231	8527	17899
232	8570	17876
233	8604	17834
234	8644	17803
235	8684	17773
236	8722	17739
237	8762	17709
238	8805	17684
239	8849	17661
240	8885	17623
241	8925	17593
242	8961	17553
243	8996	17514
244	9028	17467
245	9061	17423
246	9107	17404
247	9148	17374
248	9186	17340
249	9229	17314
250	9266	17277
251	9315	17263
252	9351	17224
253	9385	17182
254	9417	17136
255	9454	17098
256	9488	17056
257	9526	17021
258	9562	16984
259	9596	16940
260	9629	16898
261	9662	16854
262	9700	16818
263	9728	16767
264	9765	16731
265	9795	16681
266	9829	16640
267	9871	16611
268	9916	16588
269	9952	16549
270	9984	16506
271	10018	16464
272	10054	16426
273	10091	16388
274	10123	16345
275	10156	16302
276	10196	16270
277	10227	16224
278	10267	16191
279	10297	16145
280	10331	16103
281	10366	16065
282	10405	16031
283	10436	15984
284	10476	15953
285	10514	15918
286	10548	15878
287	10586	15842
288	10624	15807
289	10656	15764
290	10692	15726
291	10729	15690
292	10764	15650
293	10803	15617
294	10838	15578
295	10875	15541
296	10909	15500
297	10947	15465
298	10979	15422
299	11017	15387
300	11048	15343
301	11087	15310
302	11112	15256
303	11146	15216
304	11196	15197
305	11242	15173
306	11277	15134
307	11316	15100
308	11351	15061
309	11387	15024
310	11402	14959
311	11435	14917
312	11470	14878
313	11506	14841
314	11541	14802
315	11574	14761
316	11583	14689
317	11619	14652
318	11656	14616
319	11694	14581
320	11729	14543
321	11763	14503
322	11799	14465
323	11833	14426
324	11863	14382
325	11902	14348
326	11941	14315
327	11979	14280
328	12015	14243
329	12044	14198
330	12081	14161
331	12110	14116
332	12148	14082
333	12179	14039
334	12216	14003
