iter	Passed	Remaining
0	20	13951
1	43	14455
2	68	15155
3	90	14970
4	113	14984
5	132	14575
6	156	14745
7	176	14556
8	198	14481
9	224	14717
10	245	14656
11	266	14536
12	288	14536
13	310	14466
14	330	14386
15	352	14329
16	370	14181
17	394	14215
18	413	14111
19	435	14089
20	455	14018
21	477	13990
22	500	14009
23	520	13933
24	539	13851
25	557	13749
26	578	13721
27	589	13456
28	612	13466
29	636	13507
30	659	13536
31	682	13545
32	710	13657
33	735	13698
34	757	13676
35	776	13606
36	798	13598
37	820	13579
38	843	13576
39	863	13530
40	885	13513
41	905	13479
42	933	13542
43	954	13517
44	974	13471
45	994	13429
46	1016	13404
47	1038	13397
48	1059	13361
49	1078	13304
50	1102	13317
51	1125	13311
52	1146	13283
53	1166	13247
54	1189	13233
55	1213	13241
56	1233	13201
57	1242	13051
58	1263	13024
59	1285	13002
60	1308	13000
61	1330	12980
62	1350	12949
63	1369	12905
64	1392	12898
65	1416	12902
66	1443	12930
67	1464	12904
68	1476	12797
69	1500	12795
70	1522	12778
71	1543	12758
72	1564	12733
73	1584	12696
74	1610	12712
75	1631	12684
76	1655	12681
77	1675	12652
78	1695	12619
79	1716	12594
80	1739	12583
81	1753	12508
82	1773	12481
83	1798	12482
84	1824	12489
85	1849	12492
86	1876	12511
87	1901	12511
88	1933	12556
89	1957	12550
90	1981	12543
91	2008	12556
92	2033	12549
93	2049	12495
94	2070	12467
95	2089	12431
96	2114	12422
97	2132	12383
98	2154	12359
99	2174	12330
100	2198	12318
101	2210	12245
102	2231	12219
103	2247	12167
104	2266	12128
105	2288	12112
106	2309	12088
107	2329	12055
108	2346	12010
109	2363	11965
110	2384	11944
111	2407	11928
112	2427	11902
113	2449	11881
114	2471	11863
115	2492	11839
116	2512	11808
117	2531	11779
118	2554	11764
119	2573	11732
120	2596	11717
121	2620	11705
122	2630	11635
123	2649	11602
124	2668	11570
125	2688	11543
126	2709	11521
127	2728	11490
128	2753	11481
129	2772	11450
130	2793	11429
131	2816	11416
132	2837	11393
133	2854	11355
134	2875	11329
135	2898	11316
136	2918	11289
137	2940	11272
138	2962	11253
139	2983	11230
140	3005	11213
141	3026	11189
142	3048	11169
143	3067	11141
144	3084	11103
145	3107	11088
146	3130	11072
147	3152	11055
148	3172	11029
149	3196	11018
150	3216	10990
151	3239	10975
152	3260	10951
153	3280	10927
154	3300	10903
155	3322	10882
156	3336	10838
157	3347	10785
158	3370	10768
159	3384	10724
160	3406	10704
161	3427	10683
162	3447	10659
163	3468	10638
164	3487	10610
165	3507	10586
166	3529	10566
167	3548	10540
168	3569	10519
169	3591	10501
170	3613	10480
171	3636	10464
172	3655	10439
173	3676	10418
174	3698	10398
175	3719	10377
176	3740	10354
177	3759	10327
178	3778	10302
179	3797	10274
180	3817	10249
181	3833	10216
182	3842	10161
183	3859	10131
184	3876	10098
185	3890	10061
186	3911	10040
187	3933	10022
188	3951	9994
189	3974	9978
190	3990	9945
191	4008	9917
192	4035	9911
193	4054	9885
194	4073	9859
195	4094	9840
196	4119	9829
197	4142	9812
198	4165	9795
199	4186	9776
200	4205	9749
201	4226	9729
202	4243	9699
203	4264	9677
204	4284	9655
205	4304	9633
206	4323	9606
207	4341	9580
208	4361	9557
209	4379	9531
210	4390	9488
211	4416	9478
212	4434	9452
213	4452	9425
214	4472	9403
215	4490	9375
216	4511	9355
217	4527	9324
218	4545	9298
219	4566	9277
220	4583	9249
221	4603	9226
222	4621	9201
223	4642	9181
224	4660	9155
225	4682	9137
226	4704	9119
227	4729	9106
228	4751	9087
229	4767	9057
230	4787	9036
231	4807	9013
232	4827	8992
233	4845	8966
234	4862	8937
235	4872	8898
236	4893	8878
237	4914	8858
238	4933	8834
239	4952	8811
240	4960	8769
241	4984	8753
242	5003	8730
243	5023	8707
244	5044	8688
245	5064	8667
246	5075	8630
247	5096	8610
248	5117	8591
249	5140	8574
250	5159	8551
251	5179	8529
252	5200	8509
253	5220	8488
254	5239	8465
255	5263	8450
256	5284	8429
257	5313	8423
258	5330	8397
259	5352	8378
260	5371	8356
261	5390	8332
262	5411	8312
263	5431	8291
264	5451	8270
265	5474	8253
266	5487	8221
267	5507	8200
268	5530	8182
269	5549	8159
270	5570	8139
271	5589	8117
272	5611	8098
273	5630	8075
274	5639	8039
275	5654	8010
276	5676	7992
277	5697	7972
278	5722	7958
279	5743	7938
280	5764	7917
281	5783	7895
282	5803	7874
283	5819	7848
284	5840	7828
285	5860	7807
286	5878	7783
287	5899	7764
288	5919	7742
289	5940	7722
290	5957	7697
291	5980	7680
292	5998	7657
293	6019	7636
294	6036	7612
295	6059	7594
296	6076	7570
297	6096	7549
298	6117	7529
299	6135	7505
300	6154	7483
301	6177	7466
302	6197	7444
303	6217	7424
304	6237	7403
305	6255	7380
306	6272	7355
307	6290	7331
308	6310	7310
309	6327	7286
310	6344	7262
311	6365	7243
312	6389	7226
313	6411	7207
314	6430	7186
315	6446	7160
316	6468	7141
317	6487	7119
318	6513	7105
319	6533	7084
320	6550	7061
321	6571	7041
322	6590	7018
323	6615	7003
324	6635	6983
325	6654	6960
326	6672	6937
327	6693	6917
328	6715	6899
329	6730	6872
330	6746	6848
331	6766	6828
332	6782	6803
333	6802	6782
334	6822	6761
335	6841	6739
336	6861	6719
337	6880	6697
338	6903	6679
339	6924	6660
340	6933	6628
341	6969	6623
342	6990	6603
343	7011	6583
344	7031	6562
345	7049	6540
346	7063	6513
347	7080	6490
348	7097	6466
349	7114	6443
350	7135	6424
351	7155	6403
352	7171	6378
353	7191	6358
354	7214	6340
355	7237	6322
356	7253	6298
357	7273	6278
358	7291	6255
359	7313	6237
360	7332	6215
361	7352	6194
362	7375	6176
363	7395	6156
364	7418	6137
365	7434	6114
366	7451	6090
367	7472	6071
368	7493	6051
369	7513	6030
370	7535	6012
371	7559	5994
372	7575	5970
373	7594	5949
374	7613	5928
375	7631	5906
376	7650	5884
377	7669	5863
378	7686	5841
379	7714	5826
380	7730	5803
381	7751	5783
382	7775	5765
383	7793	5743
