iter	Logloss
0	0.6738372981
1	0.6591528695
2	0.6448974511
3	0.630466267
4	0.6189447326
5	0.6077105359
6	0.5959804197
7	0.5867010137
8	0.5793290169
9	0.5692896467
10	0.5609789807
11	0.553866166
12	0.5452261927
13	0.5410018239
14	0.5363023977
15	0.5306203404
16	0.5242765975
17	0.519485271
18	0.5151077177
19	0.5119038952
20	0.5087005701
21	0.5045010009
22	0.5010086487
23	0.4980800714
24	0.4952756836
25	0.4917337914
26	0.4863195466
27	0.4828713149
28	0.4802390326
29	0.4782657075
30	0.4759764854
31	0.4723044302
32	0.4702141943
33	0.4677004572
34	0.4651676561
35	0.4633299372
36	0.4613280703
37	0.4595285832
38	0.4579973956
39	0.4561684756
40	0.4536473465
41	0.4521607545
42	0.451038393
43	0.4495908414
44	0.4475217578
45	0.445918468
46	0.4448821858
47	0.4438959548
48	0.4426179834
49	0.4409016915
50	0.4400063873
51	0.4388240878
52	0.4374247355
53	0.4359852106
54	0.43481565
55	0.4334076738
56	0.4325782093
57	0.4317546574
58	0.430405643
59	0.4284468524
60	0.4273321209
61	0.4260331633
62	0.4249557664
63	0.4234982419
64	0.4225411218
65	0.4214776917
66	0.4207319215
67	0.4200918169
68	0.4199937753
69	0.4190411956
70	0.4179028469
71	0.4159647024
72	0.4153311614
73	0.414295231
74	0.4136504448
75	0.412572091
76	0.4115577837
77	0.410247144
78	0.4088516549
79	0.4078931329
80	0.4072540399
81	0.4069949094
82	0.4064850122
83	0.4056281929
84	0.4047279341
85	0.4040986359
86	0.4037340141
87	0.4030516866
88	0.4023120247
89	0.40185202
90	0.4010176617
91	0.4003301886
92	0.3994400328
93	0.3989438604
94	0.3981478176
95	0.3975664332
96	0.3968923181
97	0.3964881929
98	0.3959248497
99	0.3946026332
100	0.3940346833
101	0.3939752044
102	0.3936166801
103	0.3931152131
104	0.3926860984
105	0.3921490354
106	0.3916796929
107	0.3912290435
108	0.3905335257
109	0.3901016978
110	0.3895812849
111	0.3886042032
112	0.388264675
113	0.3876994974
114	0.3875197196
115	0.3865929766
116	0.3863471257
117	0.3857672938
118	0.3854950925
119	0.3852229884
120	0.384706506
121	0.3840224575
122	0.3836655291
123	0.3831580208
124	0.3826784049
125	0.3821024247
126	0.3818977356
127	0.3813387514
128	0.3809001249
129	0.3806343933
130	0.3796597053
131	0.3792666396
132	0.3788423475
133	0.3785126206
134	0.3782277733
135	0.3779379012
136	0.3777708245
137	0.3775877841
138	0.3771925157
139	0.3769282772
140	0.3763888368
141	0.376115995
142	0.3757570167
143	0.3755064407
144	0.3751060822
145	0.3746385869
146	0.3741405428
147	0.3736609854
148	0.3733310476
149	0.3730368874
150	0.3726379974
151	0.3721471872
152	0.3717001529
153	0.3713504328
154	0.3710915092
155	0.370358937
156	0.3700304431
157	0.3696432022
158	0.3693263035
159	0.3691436516
160	0.3687442421
161	0.3684923825
162	0.3681188147
163	0.3679041727
164	0.3675139488
165	0.3671027809
166	0.3668468966
167	0.3666067082
168	0.3661183285
169	0.365906226
170	0.3656939568
171	0.3654937021
172	0.3650975578
173	0.3647353566
174	0.3641760092
175	0.3634386471
176	0.3631522028
177	0.3628257333
178	0.3625745738
179	0.3620381295
180	0.3617573574
181	0.3614310818
182	0.3614265569
183	0.3612597613
184	0.360993383
185	0.3607402052
186	0.360429099
187	0.3601957717
188	0.3598815191
189	0.3596245955
190	0.3594120951
191	0.3591753942
192	0.3588068717
193	0.3585880537
194	0.3582612377
195	0.3578916843
196	0.3576644827
197	0.357544699
198	0.3572799833
199	0.3570312226
200	0.3568103156
201	0.3566138437
202	0.3564899978
203	0.3563283387
204	0.3561268016
205	0.3557635907
206	0.3554443753
207	0.3552303374
208	0.3550645837
209	0.3548760846
210	0.3548507422
211	0.3546332626
212	0.3542708362
213	0.3539635195
214	0.3536105606
215	0.353134779
216	0.3528694376
217	0.3526128033
218	0.3523543164
219	0.3521011848
220	0.3518335843
221	0.3514499039
222	0.3512623439
223	0.351094453
224	0.3508171077
225	0.3504474914
226	0.3501079906
227	0.3498407702
228	0.3495611727
229	0.3493432122
230	0.3488854466
231	0.348621314
232	0.3483446943
233	0.3480654248
234	0.3477004522
235	0.3475372723
236	0.3472307577
237	0.3470602206
238	0.3466630415
239	0.3464935557
240	0.3463128451
241	0.3460673639
242	0.3458958692
243	0.3455964964
244	0.3454362132
245	0.3450612911
246	0.3447944323
247	0.344567385
248	0.3443636818
249	0.3439799346
250	0.3437852157
251	0.3435828043
252	0.3432760619
253	0.343035526
254	0.342703894
255	0.3423265324
256	0.3421037448
257	0.3417277445
258	0.3414835523
259	0.3409023252
260	0.3405884327
261	0.3402471463
262	0.3398483337
263	0.3394005682
264	0.3391364738
265	0.3390083839
266	0.3387292574
267	0.3384485901
268	0.3379455995
269	0.3376751677
270	0.3374623827
271	0.3371808
272	0.3368965358
273	0.3366688401
274	0.3363433021
275	0.3361113564
276	0.3359243856
277	0.33573832
278	0.3354319049
279	0.3352630806
280	0.3350024492
281	0.3346528737
282	0.3340855522
283	0.3336725775
284	0.3334064398
285	0.3331627611
286	0.3328859103
287	0.3325965546
288	0.3322436727
289	0.3318755858
290	0.331563952
291	0.331362319
292	0.3310538656
293	0.3309003875
294	0.3305602666
295	0.3302994676
296	0.3299435722
297	0.3296477195
298	0.3293513741
299	0.3290597693
300	0.3287280619
301	0.3284588112
302	0.3282122808
303	0.3280372831
304	0.327746674
305	0.3273420608
306	0.3272061551
307	0.3270196814
308	0.3265540348
309	0.3262699884
310	0.3260584751
311	0.3257638402
312	0.3255508878
313	0.3252764066
314	0.3250141044
315	0.3246936239
316	0.3244098504
317	0.3241515441
318	0.3237516311
319	0.3233861792
320	0.3231638159
321	0.3229948032
322	0.3227774578
323	0.3224000522
324	0.322135958
325	0.321733859
326	0.3215313612
327	0.3213837851
328	0.3210310941
329	0.3204735956
330	0.3202178171
331	0.3198644508
332	0.3195842316
333	0.3193380361
334	0.3188825
335	0.3186881654
336	0.3183605414
337	0.318079898
338	0.317887887
339	0.3174725377
340	0.3172546626
341	0.3170399932
342	0.316773544
343	0.3164786849
344	0.3163089337
345	0.3159136595
346	0.3157443673
347	0.315349536
348	0.3150609271
349	0.3148073562
350	0.3146679967
351	0.3144146934
352	0.3142280523
353	0.3140714036
354	0.3137810628
355	0.3134748713
356	0.3131987496
357	0.3130833913
358	0.3126804536
359	0.3123510522
360	0.3121448124
361	0.3117282805
362	0.3114123313
363	0.3110296874
364	0.3108772399
365	0.3105381719
366	0.3103705773
367	0.310213102
368	0.3099581353
369	0.3094878213
370	0.3092466096
371	0.3088874368
372	0.3087521692
373	0.308634312
374	0.3084858102
375	0.3083035073
376	0.3080911004
377	0.3079349833
378	0.3076369636
379	0.3073193888
380	0.3068565493
381	0.3067216666
382	0.3063700571
383	0.3061286762
384	0.3059558078
385	0.3057867706
386	0.3055302994
387	0.3053343509
388	0.3051061384
389	0.3048914253
390	0.3046218471
391	0.3043692116
392	0.3041073973
393	0.3036862855
394	0.3033797199
395	0.3030642714
396	0.3028559265
397	0.3025075196
398	0.3021246905
399	0.3018960152
400	0.3016636476
401	0.3013973704
402	0.301258795
403	0.3007485102
404	0.3005440529
405	0.3002509991
406	0.2997952674
407	0.2995989217
408	0.2993667655
409	0.2991054856
410	0.2989388274
