iter	Logloss
0	0.6793768394
1	0.6662104022
2	0.6536854704
3	0.6425331055
4	0.6302092255
5	0.6192780528
6	0.6093108056
7	0.6000284158
8	0.591076432
9	0.5827749048
10	0.5745712269
11	0.566128279
12	0.5597549976
13	0.5530998839
14	0.5463734674
15	0.5399706119
16	0.5339019797
17	0.5277366391
18	0.5224841493
19	0.5168340753
20	0.5119843034
21	0.5075967927
22	0.5030909853
23	0.4989394099
24	0.4944947254
25	0.4911321315
26	0.487484546
27	0.4840161168
28	0.480798805
29	0.4772969842
30	0.4742529051
31	0.4712748634
32	0.4681378055
33	0.4658483071
34	0.4635149738
35	0.4610593948
36	0.4588420766
37	0.4567223445
38	0.454456014
39	0.4519946868
40	0.4497273909
41	0.447729071
42	0.4457931902
43	0.443845945
44	0.4423251999
45	0.4405407443
46	0.438998718
47	0.4373377369
48	0.4358702604
49	0.4341809337
50	0.4322430784
51	0.4305741991
52	0.4291730671
53	0.4278134881
54	0.4261414057
55	0.4249478195
56	0.4235772271
57	0.4221502506
58	0.4210168659
59	0.4199177065
60	0.4188783537
61	0.4174773972
62	0.4162083838
63	0.4150672326
64	0.4140618857
65	0.4126777786
66	0.4116834891
67	0.4107110512
68	0.4097689773
69	0.4086471766
70	0.4077953171
71	0.4068462226
72	0.405961893
73	0.4051484712
74	0.4044745395
75	0.403493633
76	0.4027057047
77	0.4018664823
78	0.4010270405
79	0.4003414371
80	0.3996149827
81	0.3989389448
82	0.3981668567
83	0.3974927056
84	0.3968476899
85	0.3961501955
86	0.3952858745
87	0.3947070277
88	0.3940915863
89	0.3934822
90	0.3926678129
91	0.3921206465
92	0.3914187642
93	0.3908434716
94	0.3902416764
95	0.3896086835
96	0.3887573505
97	0.3881766609
98	0.3876874143
99	0.38721256
100	0.3866065963
101	0.3859159468
102	0.3853135812
103	0.3848450453
104	0.3842762029
105	0.3836526439
106	0.3831122787
107	0.382522594
108	0.3819868361
109	0.3814584936
110	0.3809346707
111	0.3802874611
112	0.3798386706
113	0.3793294593
114	0.3788019066
115	0.3781778211
116	0.3776885306
117	0.3770336861
118	0.3765719076
119	0.3761013533
120	0.3756796359
121	0.3752759965
122	0.3748564292
123	0.3744663483
124	0.3740076412
125	0.3735702591
126	0.3731874621
127	0.3726840866
128	0.3721553493
129	0.3717412229
130	0.3711744428
131	0.3706279346
132	0.370160013
133	0.3697372426
134	0.3692477327
135	0.3689224605
136	0.3683532671
137	0.3679020413
138	0.3675763523
139	0.3670737227
140	0.3664274565
141	0.3660714913
142	0.3657048854
143	0.3653360198
144	0.3649645434
145	0.3644888992
146	0.3642311782
147	0.3637813565
148	0.3632963004
149	0.3629466755
150	0.3626082837
151	0.3623452313
152	0.3620197617
153	0.3617698291
154	0.3615010945
155	0.3610933525
156	0.3606917754
157	0.3603437082
158	0.3599542855
159	0.3596019841
160	0.3592214687
161	0.3589177409
162	0.3585177435
163	0.358142318
164	0.3577946677
165	0.3574135381
166	0.3570518027
167	0.3566473955
168	0.3563432508
169	0.3559961271
170	0.3556239925
171	0.3551945964
172	0.3549111844
173	0.3546003702
174	0.3543111882
175	0.3540837653
176	0.3537113236
177	0.3534675779
178	0.353189212
179	0.3529047688
180	0.3525536083
181	0.3522351373
182	0.3519576708
183	0.3516846581
184	0.3513699606
185	0.3511680312
186	0.350938195
187	0.350437189
188	0.3501789853
189	0.3497434681
190	0.3493824348
191	0.3491154992
192	0.3488438248
193	0.3485499258
194	0.3483313006
195	0.3480751372
196	0.3477796367
197	0.347471521
198	0.3471381094
199	0.3469200326
200	0.3466403284
201	0.346345508
202	0.3460436669
203	0.3456775438
204	0.3453984758
205	0.344990624
206	0.3446298321
207	0.3443034191
208	0.3439819204
209	0.3437387013
210	0.3434648109
211	0.3431364014
212	0.342952572
213	0.3426824113
214	0.3423164198
215	0.3420705459
216	0.3416183987
217	0.341275597
218	0.3409775735
219	0.3407792421
220	0.3405357597
221	0.3402822071
222	0.3399873428
223	0.3396118076
224	0.3393839021
225	0.3391085638
226	0.3388904212
227	0.3386641611
228	0.3381657439
229	0.3378617967
230	0.3375177006
231	0.3370403232
232	0.3368106406
233	0.3365922567
234	0.3362969975
235	0.336064375
236	0.3357432494
237	0.3354466738
238	0.3351780708
239	0.3348981911
240	0.3347085038
241	0.3344804886
242	0.3342642767
243	0.3340931501
244	0.3337992292
245	0.3335504155
246	0.3333505703
247	0.3330348417
248	0.3327551594
249	0.3325200797
250	0.3322783305
251	0.3320610875
252	0.3317406858
253	0.3314582611
254	0.3311525588
255	0.33086364
256	0.3305816979
257	0.3301878215
258	0.3299873182
259	0.3297312645
260	0.3294477209
261	0.3291847125
262	0.3288757631
263	0.3286787481
264	0.3284959498
265	0.328242858
266	0.3280061328
267	0.3277763624
268	0.3275653941
269	0.3272648913
270	0.327079943
271	0.3268343982
272	0.3265836319
273	0.3263084472
274	0.3260738063
275	0.3258479411
276	0.3255870608
277	0.3253972419
278	0.325204176
279	0.3249117469
280	0.3246894579
281	0.324554948
282	0.3243435408
283	0.3241420941
284	0.3237874013
285	0.323516012
286	0.3232822926
287	0.3230549794
288	0.3227733006
289	0.3225188485
290	0.3222994993
291	0.3221561479
292	0.3219360308
293	0.3215704999
294	0.3212725861
295	0.3209546636
296	0.320744858
297	0.3204481288
298	0.3201412198
299	0.3198213228
300	0.3196833026
301	0.3195264804
302	0.3191683212
303	0.3189486868
304	0.3187372796
305	0.3185638713
306	0.3183457507
307	0.3181364716
308	0.3179216858
309	0.3177113756
310	0.3174843915
311	0.3172482807
312	0.3170308621
313	0.3168897046
314	0.3166662089
315	0.3164487903
316	0.3162738682
317	0.3160338961
318	0.315782691
319	0.3155868388
320	0.315342018
321	0.315164178
322	0.3149808531
323	0.3147991079
324	0.3146177795
325	0.3144172542
326	0.3141561326
327	0.3138988942
328	0.3137539192
329	0.3136105897
330	0.3134554569
331	0.3132198287
332	0.31292005
333	0.312747629
334	0.3125483104
335	0.3123856743
336	0.3121759125
337	0.3119738076
338	0.3117573105
339	0.3115909667
340	0.3113506216
341	0.3111307019
342	0.3109367585
343	0.3107485631
344	0.3105712276
345	0.3103121902
346	0.3101292822
347	0.3099017716
348	0.3096649148
349	0.309426632
350	0.3092556589
351	0.3090559235
352	0.3088386804
353	0.3086786112
354	0.3084042821
355	0.3082070258
356	0.3079687869
357	0.3077736586
358	0.3076072709
359	0.3073601904
360	0.307154312
361	0.3069285126
362	0.3067089879
363	0.3065053692
364	0.306316011
365	0.3060970786
366	0.3058860883
367	0.3056883274
368	0.3054792896
369	0.3052356536
370	0.3050642857
371	0.304850882
372	0.304613038
373	0.3044492172
374	0.3041983192
375	0.3039423314
376	0.3037071201
377	0.3035035672
378	0.3032718442
379	0.3030497306
380	0.3028384112
381	0.3026315455
382	0.3023871635
383	0.3021921011
384	0.3019334147
385	0.3018452845
386	0.3015613241
387	0.3013691796
388	0.3011465175
389	0.3009934031
390	0.3008142028
391	0.3006270605
392	0.3004062195
